name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Studentertorvet,58,30135214,,,parking,,"POLYGON ((12.5231833 55.7875014, 12.5230131 55.7871946, 12.5255353 55.786753, 12.5257007 55.7870548, 12.5231833 55.7875014))",POINT (12.5243544 55.7871266),5871.6,63201.2
,59,31246239,,,parking,,"POLYGON ((12.5254292 55.7889124, 12.5243675 55.7890858, 12.5240722 55.7885431, 12.5251154 55.7883619, 12.5254292 55.7889124))",POINT (12.524748 55.7887261),4391.6,47270.9
,60,48182866,,industrial,,,"POLYGON ((12.5227766 55.7844678, 12.5228374 55.7844743, 12.5228985 55.7844688, 12.5229401 55.7844571, 12.5229846 55.7844328, 12.5230096 55.7844081, 12.5230178 55.7843821, 12.5230121 55.7843473, 12.5229853 55.7843157, 12.5229557 55.7842976, 12.5229022 55.78428, 12.5228411 55.7842738, 12.5227856 55.7842785, 12.5227307 55.7842947, 12.5226892 55.7843205, 12.5226674 55.7843487, 12.5226625 55.7843834, 12.5226788 55.7844169, 12.5227145 55.7844453, 12.5227766 55.7844678))",POINT (12.5228404 55.784374),385.3,4147.3
,61,48182867,,yes,,,"POLYGON ((12.5237155 55.7849357, 12.5241357 55.7848625, 12.5238113 55.7842737, 12.5233818 55.7843485, 12.5234483 55.7844691, 12.5237793 55.7844114, 12.5239079 55.7846448, 12.5235862 55.7847007, 12.5237155 55.7849357))",POINT (12.5237961 55.7846244),1326.7,14280.7
,62,48182869,,,kindergarten,,"POLYGON ((12.5308542 55.788106, 12.5314255 55.7881001, 12.531417 55.7878386, 12.5308457 55.7878445, 12.5308542 55.788106))",POINT (12.5311356 55.7879723),1043.0,11226.6
,63,48303620,,yes,,,"POLYGON ((12.5232602 55.7841213, 12.5230297 55.7836987, 12.5231386 55.7836813, 12.5233684 55.7840989, 12.5232602 55.7841213))",POINT (12.5231995 55.7839007),350.3,3770.2
,64,48303621,,yes,,,"POLYGON ((12.5235801 55.7840639, 12.5236828 55.7840467, 12.5234621 55.7836306, 12.5233594 55.7836478, 12.5235801 55.7840639))",POINT (12.5235211 55.7838473),324.8,3495.8
,65,48303623,,yes,,,"POLYGON ((12.5234034 55.7849999, 12.5229796 55.7850736, 12.5228508 55.7848396, 12.5229836 55.7848165, 12.5229537 55.7847621, 12.5226683 55.7848118, 12.5225817 55.7846546, 12.5228103 55.7846148, 12.522777 55.7845543, 12.523072 55.7845029, 12.5232171 55.7847663, 12.5232697 55.7847572, 12.5234034 55.7849999))",POINT (12.5230164 55.7847901),1627.2,17515.1
,66,48921023,,,parking,,"POLYGON ((12.5224254 55.7861266, 12.5224172 55.7861115, 12.5223916 55.7860647, 12.5223565 55.7860004, 12.5222618 55.7858268, 12.5230657 55.7856881, 12.5232794 55.785651, 12.5246013 55.7854195, 12.524671 55.7854085, 12.5255174 55.7852612, 12.5256824 55.7855609, 12.5224254 55.7861266))",POINT (12.5239726 55.7856939),7456.0,80255.4
312,67,53861390,,university,,,"POLYGON ((12.5163438 55.7846524, 12.5166954 55.7845916, 12.5168252 55.7845691, 12.5167952 55.7845142, 12.5167531 55.7844373, 12.5162716 55.7845206, 12.5163118 55.7845939, 12.5163438 55.7846524))",POINT (12.5165484 55.7845449),484.9,5219.5
311,68,53861393,,university,,,"POLYGON ((12.5169027 55.7846476, 12.5169553 55.7846385, 12.5169994 55.7847192, 12.5169779 55.7847229, 12.5169916 55.7847479, 12.5169408 55.7847567, 12.5169341 55.7847444, 12.5169282 55.7847336, 12.5167503 55.7847643, 12.5167047 55.784681, 12.5168707 55.7846523, 12.5169027 55.7846476))",POINT (12.5168579 55.7847033),167.5,1803.1
314,69,53861484,,university,,,"POLYGON ((12.5165352 55.7851082, 12.5165799 55.7851888, 12.5164129 55.7852175, 12.5163685 55.7851385, 12.516252 55.7851586, 12.5161982 55.7850581, 12.5165869 55.78499, 12.5166421 55.7850895, 12.5165352 55.7851082))",POINT (12.5164335 55.7850969),400.3,4308.7
,70,71726413,,,parking,,"POLYGON ((12.5154703 55.7808041, 12.5160326 55.7807089, 12.5157454 55.780219, 12.515348 55.7802898, 12.5152862 55.7803008, 12.515187 55.7803185, 12.5152328 55.7804098, 12.5154703 55.7808041))",POINT (12.5156074 55.7805126),2114.3,22758.6
,71,86314754,,apartments,,,"POLYGON ((12.5240061 55.7811493, 12.5239186 55.7809955, 12.5239563 55.7809887, 12.5238817 55.7808576, 12.524044 55.7808284, 12.5241668 55.7810442, 12.5241266 55.7810514, 12.5241659 55.7811206, 12.5240061 55.7811493))",POINT (12.5240296 55.7809898),379.1,4080.6
,72,86314762,,apartments,,,"POLYGON ((12.523379 55.7809099, 12.5231223 55.7804352, 12.5232836 55.7804076, 12.5235403 55.7808823, 12.523379 55.7809099))",POINT (12.5233313 55.7806588),583.9,6285.4
,73,86314768,,apartments,,,"POLYGON ((12.5238724 55.7807792, 12.5237657 55.7805867, 12.5238032 55.7805802, 12.5237307 55.7804494, 12.5238937 55.7804208, 12.5240142 55.7806382, 12.5239733 55.7806454, 12.5240319 55.7807513, 12.5238724 55.7807792))",POINT (12.523884 55.7805999),425.6,4581.2
,74,89072803,,,parking,,"POLYGON ((12.518835 55.7937514, 12.5187814 55.7935479, 12.5179687 55.7936082, 12.518017 55.7938298, 12.518835 55.7937514))",POINT (12.518395 55.793685),1234.0,13282.4
,75,114489019,,,parking,,"POLYGON ((12.5114168 55.7814131, 12.5114469 55.7813526, 12.511662 55.7813193, 12.5120885 55.7815666, 12.5119381 55.7816403, 12.5118632 55.781677, 12.5114168 55.7814131))",POINT (12.5117438 55.7814877),772.7,8317.2
,76,114615328,,,parking,,"POLYGON ((12.5183654 55.780603, 12.5189336 55.7805073, 12.5197882 55.7820237, 12.5199633 55.7823388, 12.5216854 55.7854386, 12.5210363 55.7855502, 12.5207061 55.7849386, 12.5197724 55.7832092, 12.5193579 55.7824413, 12.5191928 55.7821355, 12.5183654 55.780603))",POINT (12.5200362 55.7830776),23090.1,248539.1
,77,116328950,,yes,,,"POLYGON ((12.5125283 55.782268, 12.5124891 55.7821947, 12.5123671 55.7822153, 12.5121676 55.7818421, 12.5123972 55.7818033, 12.5125511 55.7820913, 12.5126667 55.7820718, 12.5127514 55.7822303, 12.5125283 55.782268))",POINT (12.5124389 55.7820491),851.5,9165.3
